language,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
I149,s4078341,-,+,+,+,+,+,-,-,-,+,+,+,-,+,+,-,-,-,-,-,+,-,+
I149,s4864124,+,-,-,+,-,+,-,-,-,+,+,+,-,-,-,-,+,+,+,+,+,-,-
I149,s3670455,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,-,+,+,+
I150,s2119597,-,+,-,-,-,-,-,-,+,-,+,-,+,+,+,+,-,+,-,+,+,-,+
I150,s3077699,-,+,-,+,+,+,-,+,+,+,+,-,+,+,-,-,+,-,-,-,-,+,+
I150,s7355869,+,+,+,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,+,+,+,-,+
I150,s6106327,+,-,+,+,+,-,+,-,-,+,-,+,+,-,-,+,+,-,+,-,+,+,+
I150,s6082543,+,-,+,+,+,-,-,+,+,-,-,+,+,+,+,+,+,+,-,+,+,+,+
I150,s708174,-,-,-,+,-,+,-,+,+,-,-,+,+,+,-,-,+,-,-,+,+,+,-
I150,s3320643,-,+,+,-,-,+,-,+,-,+,-,+,-,+,+,-,+,-,-,-,-,+,+
I150,s3292245,-,+,+,-,-,+,-,-,-,+,+,+,+,-,-,-,+,-,+,-,+,-,+
I150,s1402961,-,-,+,-,+,-,+,-,+,+,-,+,-,-,-,-,+,-,+,-,-,-,+
I150,s4326860,+,-,-,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-
I150,s271207,-,-,-,-,+,-,-,-,-,+,-,-,-,+,+,-,+,+,-,-,+,+,+
I150,s2839893,-,+,-,+,-,+,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+
I150,s2744451,-,+,-,+,-,-,+,+,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+
I150,s2376009,-,+,-,-,+,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,+
I150,s2419483,-,+,-,-,+,-,-,+,+,+,-,+,-,+,+,-,-,-,+,+,-,+,+
I150,s1325617,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,+,+,-,-,-,+
I150,s7831519,+,+,+,-,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,+,+,+,+
I151,s3162947,-,+,+,-,-,-,-,-,+,-,-,-,-,+,+,-,+,-,-,-,-,+,+
I151,s2179410,-,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-
I151,s522452,-,-,-,-,+,+,+,+,+,+,+,+,-,-,-,+,+,-,+,-,+,-,-
I151,s7815747,+,+,+,-,+,+,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,+,+
I151,s727292,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,+,+,+,+,+,+,-,-
I151,s6022364,+,-,+,+,-,+,+,+,+,+,-,-,+,-,-,+,+,-,+,+,+,-,-
I151,s3061104,-,+,-,+,+,+,-,+,-,+,+,-,+,-,+,-,+,+,+,-,-,-,-
I151,s1117940,-,-,+,-,-,-,+,-,-,-,-,+,+,+,-,+,+,+,+,-,+,-,-
I151,s159312,-,-,-,-,-,+,-,-,+,+,-,+,+,+,-,-,+,-,+,-,-,-,-
I151,s6335169,+,+,-,-,-,-,-,+,-,+,-,+,-,+,-,+,+,-,-,-,-,-,+
I151,s6810501,+,+,-,-,+,+,+,+,+,+,-,+,-,+,+,+,-,-,-,-,+,-,+
I151,s5013478,+,-,-,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-
I151,s5862950,+,-,+,+,-,-,+,-,+,+,+,-,+,+,-,-,-,+,-,-,+,+,-
I151,s7209443,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,+
I151,s8029840,+,+,+,+,-,+,-,+,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-
I151,s2457498,-,+,-,-,+,-,+,-,+,+,+,+,+,+,+,+,-,-,+,+,-,+,-
I151,s368581,-,-,-,-,+,-,+,+,-,-,+,+,+,+,+,+,+,-,-,-,+,-,+
I152,s2076483,-,-,+,+,+,+,+,+,-,+,-,+,+,+,+,-,+,-,-,-,-,+,+
I152,s6792637,+,+,-,-,+,+,+,+,-,+,-,-,+,-,+,+,-,+,+,+,+,-,+
I152,s7709416,+,+,+,-,+,-,+,+,-,+,-,-,-,+,-,+,+,+,-,+,-,-,-
I152,s1288879,-,-,+,-,-,+,+,+,-,+,-,+,-,+,-,+,-,+,-,+,+,+,+
I152,s694336,-,-,-,+,-,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-
I152,s5884710,+,-,+,+,-,-,+,+,+,-,-,+,-,+,+,-,-,+,-,-,+,+,-
I152,s6887206,+,+,-,+,-,-,+,-,-,-,+,-,+,+,+,-,-,+,-,-,+,+,-
I152,s5336363,+,-,+,-,-,-,+,-,+,+,-,+,+,-,+,-,-,+,-,+,-,+,+
I152,s7280627,+,+,-,+,+,+,+,-,-,-,+,-,+,+,+,+,+,+,+,-,-,+,+
I152,s7092698,+,+,-,+,+,-,-,-,-,+,+,+,-,-,+,+,+,-,+,+,-,+,-
I152,s1912123,-,-,+,+,+,-,+,-,-,+,-,+,+,-,+,-,-,+,+,+,-,+,+
I152,s2046500,-,-,+,+,+,+,+,-,-,+,+,+,-,+,-,-,-,+,-,-,+,-,-
I152,s4922823,+,-,-,+,-,+,+,-,-,-,+,+,+,-,+,+,+,-,-,-,+,+,+
I152,s5692519,+,-,+,-,+,+,-,+,+,-,+,+,+,-,-,-,+,+,-,-,+,+,+
I152,s1922014,-,-,+,+,+,-,+,-,+,-,+,-,-,+,+,+,+,-,+,+,+,+,-
I152,s6352066,+,+,-,-,-,-,-,+,+,+,-,+,+,-,-,+,+,-,-,-,-,+,-
I152,s3135623,-,+,-,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,-,-,+,+,+
I153,s6136426,+,-,+,+,+,-,+,+,-,+,-,-,-,+,-,-,+,+,-,+,-,+,-
I153,s2045351,-,-,+,+,+,+,+,-,-,+,+,-,+,-,+,+,-,+,-,-,+,+,+
I153,s532663,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,+,+,+
I153,s2313517,-,+,-,-,-,+,+,-,+,-,-,+,+,-,+,-,-,+,-,+,+,-,+
I153,s7931348,+,+,+,+,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-
I153,s7664154,+,+,+,-,+,-,-,+,+,+,+,-,-,+,-,-,-,-,+,+,-,+,-
I153,s3356988,-,+,+,-,-,+,+,-,-,+,+,+,-,-,+,-,-,+,+,+,+,-,-
I153,s1834008,-,-,+,+,-,+,+,+,+,+,+,+,+,-,-,-,-,-,+,+,-,-,-
I153,s2071095,-,-,+,+,+,+,+,+,-,-,+,+,-,+,-,-,-,+,+,-,+,+,+
I153,s4758118,+,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,+,+,-,-,+,+,-
I153,s1392297,-,-,+,-,+,-,+,-,-,+,+,+,+,+,-,+,-,+,-,+,-,-,+
I153,s7526463,+,+,+,-,-,+,-,+,+,-,+,+,-,-,-,-,-,+,+,+,+,+,+
I153,s4545131,+,-,-,-,+,-,+,-,+,-,+,+,-,+,-,-,+,+,-,+,-,+,+
I153,s5606488,+,-,+,-,+,-,+,+,-,-,-,+,+,-,-,-,+,-,+,+,-,-,-
I153,s244143,-,-,-,-,-,+,+,+,-,+,+,+,-,-,+,+,-,+,-,+,+,+,+
I153,s712399,-,-,-,+,-,+,-,+,+,-,+,+,+,+,-,+,+,-,-,+,+,+,+
I153,s7429387,+,+,+,-,-,-,+,-,+,-,+,+,+,-,+,-,-,-,-,+,-,+,+
I154,s5168,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,+,-,-,-,-
I154,s5620297,+,-,+,-,+,-,+,+,+,-,-,-,-,+,-,-,+,-,-,+,-,-,+
I154,s6679335,+,+,-,-,+,-,+,+,+,+,-,+,-,+,+,-,-,+,-,-,+,+,+
I154,s4845356,+,-,-,+,-,-,+,+,+,+,-,+,+,+,+,-,-,+,-,+,+,-,-
I154,s2537879,-,+,-,-,+,+,-,+,-,+,+,+,-,-,+,+,-,-,+,-,+,+,+
I154,s1129881,-,-,+,-,-,-,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,-,+
I154,s6454717,+,+,-,-,-,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,+,-,+
I154,s1314217,-,-,+,-,+,-,-,-,-,-,-,+,+,-,+,+,-,+,-,+,-,-,+
I154,s7873952,+,+,+,+,-,-,-,-,-,+,-,-,+,-,+,+,-,+,-,-,-,-,-
I154,s1487028,-,-,+,-,+,+,-,+,-,+,+,-,-,-,-,+,-,+,+,-,+,-,-
I154,s8201745,+,+,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+
I154,s4112054,-,+,+,+,+,+,-,+,-,+,+,+,+,+,-,+,-,+,+,-,+,+,-
I154,s7605175,+,+,+,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,+,-,+,+,+
I154,s7449927,+,+,+,-,-,-,+,+,-,+,-,+,+,-,+,-,+,-,-,-,+,+,+
I154,s7134280,+,+,-,+,+,-,-,+,+,-,+,+,+,-,-,-,+,-,-,+,-,-,-
I154,s8351619,+,+,+,+,+,+,+,-,+,+,-,+,+,+,+,+,-,-,-,-,-,+,+
I154,s1248695,-,-,+,-,-,+,+,-,-,-,-,+,+,-,+,+,-,+,+,-,+,+,+
I155,s1560919,-,-,+,-,+,+,+,+,+,-,+,-,-,-,+,-,+,-,+,-,+,+,+
I155,s7801813,+,+,+,-,+,+,+,-,-,-,-,+,-,+,+,+,+,-,+,-,+,-,+
I155,s4149627,-,+,+,+,+,+,+,-,+,-,+,-,-,-,+,-,+,+,+,+,-,+,+
I155,s6561191,+,+,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,+,-,-,+,+,+
I155,s1879087,-,-,+,+,+,-,-,+,-,+,-,+,+,-,-,-,-,+,-,+,+,+,+
I155,s4360567,+,-,-,-,-,+,-,+,-,-,-,+,-,-,+,-,+,+,+,-,+,+,+
I155,s5663812,+,-,+,-,+,+,-,-,+,+,-,+,+,-,-,-,+,-,-,-,+,-,-
I155,s6566331,+,+,-,-,+,-,-,-,-,+,+,-,-,-,+,+,-,+,+,+,-,+,+
I155,s1325150,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-,+,+,+,+,-
I155,s6800646,+,+,-,-,+,+,+,+,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-
I155,s3219531,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,+
I155,s5310731,+,-,+,-,-,-,+,-,-,-,-,+,-,-,+,-,-,-,-,+,-,+,+
I155,s5635002,+,-,+,-,+,-,+,+,+,+,+,+,-,+,+,+,-,+,+,+,-,+,-
I155,s4708285,+,-,-,-,+,+,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+
I155,s139494,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,+,+,+,-,-,+,+,-
I155,s5253675,+,-,+,-,-,-,-,-,-,+,-,+,-,+,-,-,-,+,-,+,-,+,+
I155,s4482300,+,-,-,-,+,-,-,-,+,+,-,-,+,-,-,+,+,+,+,+,+,-,-
I156,s6060907,+,-,+,+,+,-,-,-,+,+,+,+,-,+,+,-,+,+,-,+,-,+,+
I156,s8215209,+,+,+,+,+,-,+,-,+,-,+,+,-,+,-,+,-,+,-,+,-,-,+
I156,s5490440,+,-,+,-,-,+,+,+,+,-,-,-,+,+,+,-,-,-,-,+,-,-,-
I156,s2965202,-,+,-,+,+,-,+,-,-,+,+,+,+,+,-,+,+,-,+,-,-,+,-
I156,s2857420,-,+,-,+,-,+,+,+,-,-,+,+,-,-,+,+,+,-,-,+,+,-,-
I156,s701958,-,-,-,+,-,+,-,+,-,+,+,-,+,+,-,-,-,-,-,-,+,+,-
I156,s1165733,-,-,+,-,-,-,+,+,+,-,-,+,-,-,+,+,-,+,-,-,+,-,+
I156,s2596822,-,+,-,-,+,+,+,+,-,-,+,+,+,+,+,+,+,-,+,-,+,+,-
I156,s7448783,+,+,+,-,-,-,+,+,-,+,-,+,-,-,-,+,+,-,-,+,+,+,+
I156,s6891053,+,+,-,+,-,-,+,-,-,+,-,-,+,+,-,-,-,+,-,+,+,-,+
I156,s4013450,-,+,+,+,+,-,+,-,-,+,+,+,+,-,+,+,-,-,-,+,-,+,-
I156,s8174616,+,+,+,+,+,-,-,+,-,+,+,+,+,-,-,-,-,-,+,+,-,-,-
I156,s1982565,-,-,+,+,+,+,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+
I156,s7052559,+,+,-,+,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,+,+,+,+
I156,s5456498,+,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,+,+,+,-,-,+,-
I156,s3062392,-,+,-,+,+,+,-,+,-,+,+,+,-,+,-,-,+,+,+,+,-,-,-
I156,s542496,-,-,-,+,-,-,-,-,+,-,-,-,+,+,+,-,-,+,-,-,-,-,-
I157,s1698276,-,-,+,+,-,-,+,+,+,+,-,+,-,-,+,+,+,+,-,-,+,-,-
I157,s638108,-,-,-,+,-,-,+,+,-,+,+,+,+,-,-,+,-,-,+,+,+,-,-
I157,s4380411,+,-,-,-,-,+,-,+,+,-,+,-,+,+,-,+,+,+,+,+,-,+,+
I157,s1526644,-,-,+,-,+,+,+,-,+,-,-,+,-,+,+,-,+,+,+,-,+,-,-
I157,s5214631,+,-,-,+,+,+,+,+,-,-,+,-,-,-,+,+,-,+,-,-,+,+,+
I157,s6599171,+,+,-,-,+,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,+
I157,s2924704,-,+,-,+,+,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-
I157,s1749218,-,-,+,+,-,+,-,+,-,+,+,-,-,-,-,+,+,+,-,-,-,+,-
I157,s4807434,+,-,-,+,-,-,+,-,+,-,+,+,-,+,+,-,-,-,-,+,-,+,-
I157,s4241160,+,-,-,-,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,+,-,-,-
I157,s5323107,+,-,+,-,-,-,+,-,-,+,+,+,-,-,+,-,+,+,-,-,-,+,+
I157,s304339,-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,+,-,+,-,-,+,+
I157,s8021835,+,+,+,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,+,-,+,+
I157,s5932413,+,-,+,+,-,+,-,+,-,-,-,-,+,-,+,-,+,+,+,+,+,-,+
I157,s4107789,-,+,+,+,+,+,-,+,-,+,-,+,+,+,-,-,-,-,-,+,+,-,+
I157,s7729605,+,+,+,-,+,-,+,+,+,+,+,-,-,-,+,+,+,-,-,-,+,-,+
I157,s5915490,+,-,+,+,-,+,-,-,+,-,-,-,-,+,+,-,+,+,-,-,-,+,-
I158,s6320972,+,+,-,-,-,-,-,-,+,+,+,-,-,+,+,-,+,-,-,+,+,-,-
I158,s3148628,-,+,+,-,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-
I158,s5947190,+,-,+,+,-,+,-,+,-,+,+,+,+,+,+,-,-,+,+,-,+,+,-
I158,s2544497,-,+,-,-,+,+,-,+,+,-,+,-,-,+,+,-,+,+,+,-,-,-,+
I158,s3178178,-,+,+,-,-,-,-,-,+,+,+,+,+,+,-,+,+,-,-,-,-,+,-
I158,s5115551,+,-,-,+,+,+,-,-,-,-,-,+,+,+,-,+,-,-,+,+,+,+,+
I158,s818987,-,-,-,+,+,-,-,-,+,+,+,+,+,+,+,-,-,+,-,+,-,+,+
I158,s6980076,+,+,-,+,-,+,-,+,-,-,-,-,-,-,+,+,+,+,-,+,+,-,-
I158,s4818971,+,-,-,+,-,-,+,+,-,-,-,+,-,-,-,-,-,-,+,+,-,+,+
I158,s1877193,-,-,+,+,+,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+
I158,s4386053,+,-,-,-,-,+,-,+,+,+,-,+,+,-,+,-,-,-,-,-,+,-,+
I158,s2071791,-,-,+,+,+,+,+,+,-,-,+,+,+,-,-,+,+,+,-,+,+,+,+
I158,s2868864,-,+,-,+,-,+,+,+,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-
I158,s1909207,-,-,+,+,+,-,+,-,-,+,-,-,-,-,+,+,+,-,+,-,+,+,+
I158,s7465773,+,+,+,-,-,-,+,+,+,+,-,+,-,+,+,-,-,+,-,+,+,-,+
I158,s3502098,-,+,+,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,+,-,-,+,-
I158,s1022263,-,-,-,+,+,+,+,+,-,-,+,+,-,-,+,-,-,+,+,-,+,+,+
I159,s3999647,-,+,+,+,+,-,+,-,-,-,-,-,+,+,+,+,-,-,+,+,+,+,+
I159,s5692736,+,-,+,-,+,+,-,+,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-
I159,s6651400,+,+,-,-,+,-,+,-,+,+,+,+,+,+,-,-,-,-,-,+,-,-,-
I159,s1524467,-,-,+,-,+,+,+,-,+,-,-,-,-,+,-,+,+,+,+,-,-,+,+
I159,s7973824,+,+,+,+,-,-,+,+,-,+,-,+,-,+,+,+,+,-,-,-,-,-,-
I159,s5440294,+,-,+,-,-,+,+,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
I159,s5821445,+,-,+,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,+,-,+
I159,s2941754,-,+,-,+,+,-,-,+,+,+,-,-,-,+,+,-,-,+,+,+,-,+,-
I159,s2663538,-,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,-,+,-
I159,s1649636,-,-,+,+,-,-,+,-,-,+,-,+,-,+,+,+,+,+,-,-,+,-,-
I159,s3702487,-,+,+,+,-,-,-,-,+,+,+,+,+,+,-,+,+,-,+,-,+,+,+
I159,s3482231,-,+,+,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,+,-,+,+,+
I159,s8387334,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,+,+,-
I159,s4211746,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,-,-,-,+,-
I159,s5532321,+,-,+,-,+,-,-,-,+,+,-,+,-,+,-,+,-,+,-,-,-,-,+
I159,s2322036,-,+,-,-,-,+,+,-,+,+,-,+,+,+,-,-,+,+,+,-,+,-,-
I159,s536650,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,+,-
I160,s3786552,-,+,+,+,-,-,+,+,+,-,-,-,+,+,+,-,-,+,+,+,-,-,-
I160,s79196,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,-,+,+,+,-,-
I160,s3904572,-,+,+,+,-,+,+,+,-,-,+,-,+,-,-,-,-,+,+,+,+,-,-
I160,s1966305,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+
I160,s3720441,-,+,+,+,-,-,-,+,+,-,-,-,+,-,-,+,+,+,+,+,-,-,+
I160,s5063663,+,-,-,+,+,-,+,-,+,-,-,-,-,+,+,+,+,+,-,+,+,+,+
I160,s4240103,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,+,+,-,-,+,+,+
I160,s7891358,+,+,+,+,-,-,-,-,+,+,-,+,-,-,+,+,-,-,+,+,+,+,-
I160,s3052414,-,+,-,+,+,+,-,+,-,-,+,-,-,+,+,-,+,+,+,+,+,+,-
I160,s319872,-,-,-,-,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-
I160,s1186150,-,-,+,-,-,+,-,-,-,-,+,+,-,-,+,-,+,+,-,-,+,+,-
I160,s1415755,-,-,+,-,+,-,+,+,-,-,+,+,-,+,-,-,+,-,-,+,-,+,+
I160,s5619401,+,-,+,-,+,-,+,+,-,+,+,+,+,+,-,+,+,-,-,+,-,-,+
I160,s7408605,+,+,+,-,-,-,+,-,-,-,-,+,-,+,+,+,+,-,+,+,+,-,+
I160,s7142784,+,+,-,+,+,-,-,+,+,+,+,+,+,-,+,+,-,-,-,-,-,-,-
I160,s5932145,+,-,+,+,-,+,-,+,-,-,-,-,+,-,-,-,+,+,+,-,-,-,+
I160,s2768033,-,+,-,+,-,+,-,-,-,+,+,+,+,-,-,+,-,+,-,-,-,-,+
I161,s3942475,-,+,+,+,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,+,-,+,+
I161,s1640005,-,-,+,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,+
I161,s2839877,-,+,-,+,-,+,+,-,+,-,+,-,+,-,+,-,+,-,-,-,+,-,+
I161,s7723143,+,+,+,-,+,-,+,+,+,-,+,+,-,-,-,+,-,-,-,-,+,+,+
I161,s6049412,+,-,+,+,+,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,+,-,-
I161,s6304635,+,+,-,-,-,-,-,-,-,+,+,-,-,+,+,-,+,+,+,+,-,+,+
I161,s7788205,+,+,+,-,+,+,-,+,+,-,+,-,+,+,-,+,-,+,-,+,+,-,+
I161,s744604,-,-,-,+,-,+,+,-,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-
I161,s3571363,-,+,+,-,+,+,-,-,+,+,+,+,+,+,-,+,-,+,-,-,-,+,+
I161,s8149491,+,+,+,+,+,-,-,-,+,-,+,+,-,-,+,+,+,+,+,-,-,+,+
I161,s673337,-,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,+,+,+,-,-,+
I161,s280694,-,-,-,-,+,-,-,-,+,-,-,+,-,-,-,-,+,+,+,-,+,+,-
I161,s5946003,+,-,+,+,-,+,-,+,-,+,+,+,-,+,-,+,-,-,+,-,-,+,+
I161,s3467246,-,+,+,-,+,-,-,+,+,+,-,-,+,+,+,+,+,+,-,+,+,+,-
I161,s210075,-,-,-,-,-,+,+,-,-,+,+,-,+,-,-,+,-,-,+,+,-,+,+
I161,s3145680,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-
I161,s7883750,+,+,+,+,-,-,-,-,+,-,-,+,-,+,+,+,+,+,-,-,+,+,-
I162,s4243795,+,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,+,+
I162,s1088483,-,-,+,-,-,-,-,+,-,-,+,+,-,+,+,+,+,+,-,-,-,+,+
I162,s5128002,+,-,-,+,+,+,-,-,-,+,+,+,+,+,+,-,+,-,-,-,-,+,-
I162,s5116944,+,-,-,+,+,+,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-
I162,s7598226,+,+,+,-,-,+,+,+,+,+,+,-,-,-,-,+,-,-,+,-,-,+,-
I162,s5065858,+,-,-,+,+,-,+,-,+,-,-,+,+,-,-,+,-,-,-,-,-,+,-
I162,s5622889,+,-,+,-,+,-,+,+,+,-,-,+,+,-,-,-,+,+,-,+,-,-,+
I162,s1892446,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-,-,+,-,+,+,+,+,-
I162,s7520379,+,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,+,+,+,+,-,+,+
I162,s2991626,-,+,-,+,+,-,+,+,-,+,-,-,+,+,-,-,-,-,-,+,-,+,-
I162,s3723556,-,+,+,+,-,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,+,-,-
I162,s7345208,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-
I162,s4023246,-,+,+,+,+,-,+,-,+,+,-,-,-,+,+,+,+,-,-,+,+,+,-
I162,s6891793,+,+,-,+,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-,-,-,+
I162,s4018446,-,+,+,+,+,-,+,-,+,-,+,-,-,-,+,-,-,-,-,+,+,+,-
I162,s2937711,-,+,-,+,+,-,-,+,+,-,+,-,-,+,+,-,+,+,-,+,+,+,+
I162,s3490177,-,+,+,-,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+
I162,s4035400,-,+,+,+,+,-,+,+,-,-,+,-,-,+,+,-,+,-,-,+,-,-,-
I163,s3831844,-,+,+,+,-,+,-,-,+,+,+,+,-,-,-,-,-,+,-,-,+,-,-
I163,s7410321,+,+,+,-,-,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+
I163,s5670254,+,-,+,-,+,+,-,+,-,-,-,-,+,-,+,-,+,+,-,+,+,+,-
I163,s5082408,+,-,-,+,+,-,+,+,-,-,-,+,+,-,+,-,-,+,-,+,-,-,-
I163,s4232384,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-
I163,s6265689,+,-,+,+,+,+,+,+,-,-,+,+,-,+,+,-,+,-,+,+,-,-,+
I163,s7933719,+,+,+,+,-,-,+,-,-,-,-,+,+,+,+,-,-,-,+,-,+,+,+
I163,s6905182,+,+,-,+,-,-,+,-,+,-,+,+,+,-,+,-,+,-,+,+,+,+,-
I163,s606311,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,-,+,+,+
I163,s7824211,+,+,+,-,+,+,+,-,+,+,-,-,-,+,+,-,+,-,+,-,-,+,+
I163,s8303855,+,+,+,+,+,+,-,+,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+
I163,s4573874,+,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,+,+,-,-,+,-
I163,s8359932,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,+,-,-
I163,s5263801,+,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,+
I163,s7199992,+,+,-,+,+,-,+,+,+,-,+,+,+,-,-,+,+,+,+,+,-,-,-
I163,s4572144,+,-,-,-,+,-,+,+,+,-,-,-,-,+,+,+,+,+,+,-,-,-,-
I163,s5138531,+,-,-,+,+,+,-,-,+,+,-,+,-,-,-,-,+,+,-,-,-,+,+
I163,s3456286,-,+,+,-,+,-,-,+,-,+,+,+,+,-,+,-,-,-,+,+,+,+,-
I164,s7679632,+,+,+,-,+,-,+,-,-,+,-,+,+,+,-,+,-,-,+,-,-,-,-
I164,s1779485,-,-,+,+,-,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,-,+
I164,s4347239,+,-,-,-,-,+,-,-,+,-,+,-,+,-,+,-,+,+,-,-,+,+,+
I164,s1847239,-,-,+,+,+,-,-,-,-,+,-,+,+,+,+,+,+,-,-,-,+,+,+
I164,s4894914,+,-,-,+,-,+,-,+,-,+,+,-,-,-,-,+,+,-,-,-,-,+,-
I164,s1679462,-,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,+,+,-,-,+,+,-
I164,s2574496,-,+,-,-,+,+,+,-,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-
I164,s4743749,+,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,+,-,+
I164,s899127,-,-,-,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,-,+,+,+
I164,s956532,-,-,-,+,+,+,-,+,-,-,+,+,-,-,-,-,+,+,+,-,+,-,-
I164,s498142,-,-,-,-,+,+,+,+,-,-,+,+,-,-,+,+,+,-,+,+,+,+,-
I164,s1266084,-,-,+,-,-,+,+,-,+,-,+,-,-,-,+,+,-,+,-,-,+,-,-
I164,s6482966,+,+,-,-,-,+,-,+,+,+,-,+,+,-,-,-,-,-,+,-,+,+,-
I164,s7100984,+,+,-,+,+,-,-,-,+,-,+,+,-,+,-,-,-,+,+,+,-,-,-
I164,s7363722,+,+,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,-,-,+,-,+,-
