,Language_Name,Num_Segments,Sum_Balance,Num_Contrastive_Features,Order_Name,Sum_Balance_1,Sum_Balance_2,Sum_Balance_3,Sum_Balance_4,Sum_Balance_5,Sum_Balance_6,Sum_Balance_7,Sum_Balance_8,Sum_Balance_9,Sum_Balance_10,Sum_Balance_11,Sum_Balance_12,Sum_Balance_13,Sum_Balance_14,Sum_Balance_15,Sum_Balance_16,Sum_Balance_17,Sum_Balance_18,Sum_Balance_19,Sum_Balance_20,Sum_Balance_21,Sum_Balance_22,Sum_Balance_23,Sum_Balance_24,Sum_Balance_25,Sum_Balance_26,Sum_Balance_27,Sum_Balance_28,Sum_Balance_29,Feature_Depth_1,Feature_Depth_2,Feature_Depth_3,Feature_Depth_4,Feature_Depth_5,Feature_Depth_6,Feature_Depth_7,Feature_Depth_8,Feature_Depth_9,Feature_Depth_10,Feature_Depth_11,Feature_Depth_12,Feature_Depth_13,Feature_Depth_14,Feature_Depth_15,Feature_Depth_16,Feature_Depth_17,Feature_Depth_18,Feature_Depth_19,Feature_Depth_20,Feature_Depth_21,Feature_Depth_22,Feature_Depth_23,Feature_Depth_24,Feature_Depth_25,Feature_Depth_26,Feature_Depth_27,Feature_Depth_28,Feature_Depth_29,Subinventory_Size_1,Subinventory_Size_2,Subinventory_Size_3,Subinventory_Size_4,Subinventory_Size_5,Subinventory_Size_6,Subinventory_Size_7,Subinventory_Size_8,Subinventory_Size_9,Subinventory_Size_10,Subinventory_Size_11,Subinventory_Size_12,Subinventory_Size_13,Subinventory_Size_14,Subinventory_Size_15,Subinventory_Size_16,Subinventory_Size_17,Subinventory_Size_18,Subinventory_Size_19,Subinventory_Size_20,Subinventory_Size_21,Subinventory_Size_22,Subinventory_Size_23,Subinventory_Size_24,Subinventory_Size_25,Subinventory_Size_26,Subinventory_Size_27,Subinventory_Size_28,Subinventory_Size_29,Sum_Balance_By_Feature_Height1,Sum_Balance_By_Feature_Height2,Sum_Balance_By_Feature_Height29,Sum_Balance_By_Feature_Height28,Sum_Balance_By_Feature_Height8,Sum_Balance_By_Feature_Height16,Sum_Balance_By_Feature_Height10,Sum_Balance_By_Feature_Height14,Sum_Balance_By_Feature_Height20,Sum_Balance_By_Feature_Height12,Sum_Balance_By_Feature_Height7,Sum_Balance_By_Feature_Height21,Sum_Balance_By_Feature_Height13,Sum_Balance_By_Feature_Height5,Sum_Balance_By_Feature_Height26,Sum_Balance_By_Feature_Height6,Sum_Balance_By_Feature_Height11,Sum_Balance_By_Feature_Height25,Sum_Balance_By_Feature_Height4,Sum_Balance_By_Feature_Height22,Sum_Balance_By_Feature_Height15,Sum_Balance_By_Feature_Height3,Sum_Balance_By_Feature_Height27,Sum_Balance_By_Feature_Height18,Sum_Balance_By_Feature_Height24,Sum_Balance_By_Feature_Height17,Sum_Balance_By_Feature_Height19,Sum_Balance_By_Feature_Height23,Sum_Balance_By_Feature_Height9
708,I71,5,2,4,O9,,,,,,,,,,,,2,,,,0,,5,,,,,,,,3,,,,,,,,,,,,,,,0,,,,3,,2,,,,,,,,1,,,,,,,,,,,,,,,5,,,,2,,4,,,,,,,,5,,,,,,,,,0.0,,,,0.0,,,,,1.0,,,,,,,,,2.0,,,,,
709,I71,5,2,4,O10,,,,,,3,,2,,,,,,,5,,,,,,,,,,,,3,,,,,,,,1,,0,,,,,,,2,,,,,,,,,,,,3,,,,,,,,5,,5,,,,,,,3,,,,,,,,,,,,2,,,,,,,0.0,,,,,,,,,,,1.0,,,,,2.0,,3.0,,,,,,
710,I72,5,6,4,O1,6,,2,,5,,3,,,,,,,,,,,,,,,,,,,,,,,0,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,5,,4,,3,,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,2.0,,,,,,,,0.0,,,,,,,
711,I72,5,3,3,O2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
712,I72,5,6,4,O3,,,,,,,,6,,,2,,,,,0,,,,,,,,0,,,,,,,,,,,,,0,,,1,,,,,2,,,,,,,,3,,,,,,,,,,,,,5,,,4,,,,,3,,,,,,,,2,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,
713,I72,5,2,3,O4,,,,,,,,,,2,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,4,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,
714,I72,5,2,4,O5,,,,,,,,0,,,,,,,3,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,,3,,,,,0,,,,,,,,2,,,,,,,,,5,,,,,,,2,,,,,5,,,,,,,,3,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,3.0,,,,,,,,
715,I72,5,6,4,O6,,,,6,,,2,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,1,,,,,,,,,3,,,,,,,,,,,,,2,,,,5,,,4,,,,,,,,,2,,,,,,,,,,,,,3,,,0.0,,,0.0,,,,,0.0,,,,,,,,1.0,,,,,,,,,,
716,I72,5,2,4,O7,,,3,,,,,,,,,,0,,,,,,,,2,,,0,,,,,,,,1,,,,,,,,,,2,,,,,,,,0,,,3,,,,,,,,5,,,,,,,,,,3,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,0.0,,,,
717,I72,5,2,3,O8,,,,,2,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,0.0,,,,3.0,,1.0,,,,,,,,,,,,,,,
718,I72,5,2,3,O9,,,,,,,,,,,,,,,,,,2,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,5,,2,,,,,,5,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,1.0,,,,,
719,I72,5,3,4,O10,,,,,,2,,3,,,,,,,5,,,,,,,,,,,,0,,,,,,,,1,,0,,,,,,,2,,,,,,,,,,,,3,,,,,,,,4,,5,,,,,,,4,,,,,,,,,,,,2,,,,,,,0.0,,,,,,,,,,,0.0,,,,,2.0,,0.0,,,,,,
720,I73,6,5,5,O1,5,3,,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,6,6,,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,2.0,,0.0,,,1.0,,,,,,,,,,
721,I73,6,5,4,O2,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,6,6,,,1.0,0.0,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,
722,I73,6,2,4,O3,,,,,,,,2,,,,,,,,4,,,,,,,,4,,0,,,,,,,,,,,0,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,,6,,,,,,,,6,,,,,,,,4,,2,,,,,,,,0.0,1.0,,,,,,,,,0.0,,,,,,,,,,2.0,,,,
723,I73,6,2,4,O4,,,,,0,,,,,2,,,,5,,,0,,,,,,,,,,,,,,,,,3,,,,,0,,,,1,,,2,,,,,,,,,,,,,,,,,2,,,,,6,,,,6,,,5,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,0.0,,,,,,,,,,,,0.0,,,
724,I73,6,2,4,O5,,,,,,,,,,,,2,,,,,,,,2,,,,,4,,,0,,,,,,,,,,,,,1,,,,,,,,0,,,,,2,,,3,,,,,,,,,,,,,6,,,,,,,,6,,,,,4,,,2,,,,,0.0,,,,,0.0,0.0,,,,,,,,2.0,,,,,,,,,,,
725,I73,6,5,5,O6,,0,,5,,,2,,,,,,,,,,,,,,,,,,,,,0,6,,4,,0,,,1,,,,,,,,,,,,,,,,,,,,,3,2,,2,,6,,,6,,,,,,,,,,,,,,,,,,,,,4,5,,0.0,2.0,0.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,
726,I73,6,5,5,O7,,,4,,,,,,,,,,1,,,4,2,,,,5,,,,,,,,,,,1,,,,,,,,,,2,,,4,3,,,,0,,,,,,,,,,,6,,,,,,,,,,5,,,2,3,,,,6,,,,,,,,,,,,,,4.0,,,,,,1.0,0.0,,,,,,,,,1.0,,,,1.0,,,
727,I73,6,10,5,O8,,,7,,5,,,,,,,,,10,4,,,,,,9,,,,,,,,,,,3,,1,,,,,,,,,0,4,,,,,,2,,,,,,,,,,,3,,5,,,,,,,,,6,2,,,,,,4,,,,,,,,,,,,,,,,2.0,,,,3.0,,1.0,,,,,,,4.0,3.0,,,,,,,
728,I73,6,2,3,O9,,,,,,,,,,,,2,,,,,,0,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,4,,,,,,,,6,,,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,0.0,,,,,
729,I73,6,2,4,O10,,,,,,6,,2,,,,,,,4,,,,,,,,,,,,0,,,,,,,,1,,0,,,,,,,2,,,,,,,,,,,,3,,,,,,,,6,,6,,,,,,,5,,,,,,,,,,,,2,,,,,,,0.0,,,,,,,,,,,2.0,,,,,2.0,,0.0,,,,,,
730,I74,6,2,4,O1,2,1,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,
731,I74,6,5,4,O2,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,6,,,1.0,2.0,,,,,,,,,,,4.0,,,,,,,,0.0,,,,,,
732,I74,6,2,4,O3,,,,,,,,2,,,5,,,,,4,,,,,,,,0,,,,,,,,,,,,,0,,,1,,,,,2,,,,,,,,3,,,,,,,,,,,,,6,,,6,,,,,6,,,,,,,,2,,,,,,,,,,0.0,2.0,,,,,,,,,,,1.0,,,,,,,,0.0,,,,
733,I74,6,2,5,O4,,,,,0,,,,,2,,,4,3,,,3,,,,,,,,,,,,,,,,,4,,,,,0,,,3,1,,,2,,,,,,,,,,,,,,,,,2,,,,,6,,,4,6,,,6,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,2.0,0.0,,,,,,,,,,,,1.0,,,
734,I74,6,5,4,O5,,,,,,,,2,,,,2,,,4,,,,,5,,,,,,,,,,,,,,,,,2,,,,1,,,3,,,,,0,,,,,,,,,,,,,,,,,3,,,,6,,,2,,,,,6,,,,,,,,,,,,,,1.0,,,,1.0,0.0,,,,,,,,,,,4.0,,,,,,,,
735,I74,6,5,5,O6,,3,,5,,,2,,,,,,,,,,,,,,4,,,,,,,,2,,3,,0,,,1,,,,,,,,,,,,,,4,,,,,,,,2,,4,,6,,,6,,,,,,,,,,,,,,2,,,,,,,,5,,1.0,0.0,,,,,,,,0.0,4.0,,,,,,,1.0,,,,,,,,,,
736,I74,6,2,4,O7,,,2,,,,,,,,,,4,,,,4,,,,2,,,,,,,,,,,1,,,,,,,,,,2,,,,3,,,,0,,,,,,,,,,,6,,,,,,,,,,5,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,0.0,,,,4.0,,,
737,I74,6,2,4,O8,,,,,2,,,,,4,,,,2,,,,,,,3,,,,,,,,,,,,,1,,,,,3,,,,0,,,,,,,2,,,,,,,,,,,,,6,,,,,2,,,,6,,,,,,,4,,,,,,,,,,,,,,,4.0,0.0,,,,1.0,,0.0,,,,,,,,,,,,,,,
738,I74,6,5,4,O9,,,,,4,,,,,,,5,,,,,,7,,,,,,,,5,,,,,,,,3,,,,,,,0,,,,,,2,,,,,,,,1,,,,,,,,2,,,,,,,6,,,,,,3,,,,,,,,6,,,,,,,,,,,,,1.0,,,,4.0,1.0,,,,,,,,,3.0,,,,,
739,I74,6,2,4,O10,,,,4,,2,,2,,,,,,,3,,,,,,,,,,,,,,,,,,3,,1,,0,,,,,,,2,,,,,,,,,,,,,,,,,,2,,6,,6,,,,,,,4,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,4.0,,1.0,,,,,,,,
740,I75,6,5,5,O1,5,7,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,4.0,,,,,3.0,,,1.0,,,,,,,
741,I75,6,5,5,O2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,6,6,,,1.0,0.0,,,,,,,,,,,2.0,,,0.0,,,,,0.0,,,,,,
742,I75,6,6,5,O3,,,,,,,,6,,,1,,,,0,0,,,,,,,,0,,,,,,,,,,,,,0,,,1,,,,4,2,,,,,,,,3,,,,,,,,,,,,,6,,,5,,,,2,5,,,,,,,,3,,,,,,,,,,1.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,
743,I75,6,2,4,O4,,,,,,,,,,2,,,4,2,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,6,,,2,6,,,4,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,4.0,,,,,,,,,,,,,1.0,,,
744,I75,6,2,4,O5,,,,,,,,,,,,3,,,,,,,,2,,,,,4,,,0,,,,,,,,,,,,,1,,,,,,,,0,,,,,2,,,3,,,,,,,,,,,,,6,,,,,,,,6,,,,,6,,,2,,,,,0.0,,,,,0.0,1.0,,,,,,,,2.0,,,,,,,,,,,
745,I75,6,2,4,O6,,,,2,,,4,,,,,,,,,0,,,,,,,,,,,,,2,,,,0,,,1,,,,,,,,,3,,,,,,,,,,,,,2,,,,6,,,6,,,,,,,,,2,,,,,,,,,,,,,6,,,1.0,,,0.0,,,,,1.0,,,,,,,,0.0,,,,,,,,,,
746,I75,6,5,5,O7,,,9,,,,,,,,,0,7,,,,0,,,,5,,,,,,,,,,,1,,,,,,,,,4,2,,,,3,,,,0,,,,,,,,,,,6,,,,,,,,,2,5,,,,4,,,,6,,,,,,,,,,,,,,,,,,0.0,,1.0,2.0,,,,,,,,,2.0,,,,0.0,,,
747,I75,6,2,4,O8,,,,,3,,,,,0,,,,2,,,,,,,0,,,,,,,,,,,,,1,,,,,3,,,,0,,,,,,,2,,,,,,,,,,,,,6,,,,,2,,,,6,,,,,,,4,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,1.0,,,,,,,,,,,,,,,
748,I75,6,2,4,O9,,,,,,,,,,,,2,,,,2,,1,,,,,,,,3,,,,,,,,,,,,,,,0,,,,3,,2,,,,,,,,1,,,,,,,,,,,,,,,6,,,,4,,6,,,,,,,,6,,,,,,,,,2.0,,,,0.0,,,,,1.0,,,,,,,,,0.0,,,,,
749,I75,6,7,5,O10,,,,0,,0,,7,,,,,,,0,,,,,,,,,,,,0,,,,,,4,,1,,0,,,,,,,2,,,,,,,,,,,,3,,,,,,2,,5,,6,,,,,,,4,,,,,,,,,,,,4,,,,,,,1.0,,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,
750,I76,6,2,4,O1,2,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,
751,I76,6,2,4,O2,,,,,,,,,,,,,,,,,,,,,,,4,,,3,3,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,2,,,4,6,,6,,,0.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,4.0,
752,I76,6,6,5,O3,,,,,,,,6,,,5,,,,4,6,,,,,,,,3,,,,,,,,,,,,,0,,,1,,,,4,2,,,,,,,,3,,,,,,,,,,,,,6,,,5,,,,2,5,,,,,,,,4,,,,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,4.0,,,,1.0,,,,
753,I76,6,5,4,O4,,,,,,,,,,5,,,,5,,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,1,,3,,,,2,,,,,,,,,,,,,,,,,,,6,,,,6,,2,,,,3,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
754,I76,6,6,5,O5,,,,,,,,4,,,,2,,,,,,,,6,,,,,3,0,,,,,,,,,,,3,,,,1,,,,,,,,0,,,,,2,4,,,,,,,,,,,4,,,,5,,,,,,,,6,,,,,5,2,,,,,,,,2.0,,,,1.0,0.0,,,,,0.0,,,1.0,,,,,,,,,,,
755,I76,6,2,4,O6,,0,,2,,,0,,,,,,,,,,,,,,0,,,,,,,,,,2,,0,,,1,,,,,,,,,,,,,,3,,,,,,,,,,4,,6,,,6,,,,,,,,,,,,,,2,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,
756,I76,6,5,4,O7,,,5,,,,,,,,,,7,,,,,,,,5,,,,4,,,,,,,1,,,,,,,,,,2,,,,,,,,0,,,,3,,,,,,,6,,,,,,,,,,3,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,1.0,3.0,,,,,4.0,,,,1.0,,,,,,,
757,I76,6,5,4,O8,,,2,,2,,,,,,,,,5,,,,,,,1,,,,,,,,,,,3,,1,,,,,,,,,0,,,,,,,2,,,,,,,,,,,4,,6,,,,,,,,,6,,,,,,,5,,,,,,,,,,,,,,,,1.0,,,,0.0,,0.0,,,,,,,,2.0,,,,,,,
758,I76,6,2,4,O9,,,,,,,,,,,,2,,,,,,4,,0,,,,,,3,,,,,,,,,,,,,,,0,,,,,,2,,3,,,,,,1,,,,,,,,,,,,,,,6,,,,,,5,,2,,,,,,6,,,,,,,,,,,,0.0,0.0,,,,,1.0,,,,,,,,,2.0,,,,,
759,I76,6,6,5,O10,,,,7,,,0,6,,,,,,,5,,,,,,,,,,,,5,,,,,,3,,,4,0,,,,,,,1,,,,,,,,,,,,2,,,,,,4,,,2,6,,,,,,,5,,,,,,,,,,,,5,,,,,,,1.0,,,,,,0.0,,,,,,,,3.0,,1.0,,1.0,,,,,,
760,I77,6,2,4,O1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,
761,I77,6,2,4,O2,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,6,,,0.0,0.0,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,
762,I77,6,6,4,O3,,,,,,0,,6,,,,,,,,2,,,,,,0,,,,,,,,,,,,,2,,0,,,,,,,,1,,,,,,3,,,,,,,,,,,,,5,,6,,,,,,,,5,,,,,,2,,,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,,
763,I77,6,6,5,O4,,,,,,,,,,6,,,0,2,,,4,,,0,,,,,,,,,,,,,,,,,,,0,,,3,1,,,2,,,4,,,,,,,,,,,,,,,,,,,6,,,3,5,,,5,,,2,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,1.0,,,
764,I77,6,2,3,O5,,,,,,,,,,,,2,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,2,,,,,,,,,,,,,,,,6,,,,,,,,6,,,,,4,,,,,,,,,,,,,0.0,1.0,,,,,,,,2.0,,,,,,,,,,,
765,I77,6,2,5,O6,,4,,2,,,3,,,,,,,,,0,,,,,,,,,,,,,3,,3,,0,,,1,,,,,,,,,4,,,,,,,,,,,,,2,,4,,6,,,6,,,,,,,,,2,,,,,,,,,,,,,6,,2.0,1.0,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,
766,I77,6,2,4,O7,,,2,,,,,,,,,,4,,,,,,,,2,,,,0,,,,,,,1,,,,,,,,,,2,,,,,,,,0,,,,3,,,,,,,6,,,,,,,,,,4,,,,,,,,6,,,,2,,,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,,,,0.0,,,,,,,
767,I77,6,2,3,O8,,,,,1,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,6,,,,,,,4,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,
768,I77,6,2,4,O9,,,,,,,0,,,,,2,,,,,,0,,,,,,,,3,,,,,,,,,,3,,,,,0,,,,,,2,,,,,,,,1,,,,,,,,,,2,,,,,6,,,,,,4,,,,,,,,6,,,,,,,,,,,,,0.0,0.0,,,,1.0,,,,,,,,,0.0,,,,,
769,I77,6,6,4,O10,,,,,,2,,6,,,,,,,1,,4,,,,,,,,,,,,,,,,,,1,,0,,,,,,,2,,3,,,,,,,,,,,,,,,,,,5,,6,,,,,,,5,,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,0.0,,,,,4.0,,,
770,I78,6,2,4,O1,2,3,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,6,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,
771,I78,6,2,4,O2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,6,,,,,0.0,,,,,,,,,,,2.0,,,0.0,,,,,0.0,,,,,,
772,I78,6,5,5,O3,,,,,,0,,5,,,5,,,,,2,,,,,,,,4,,,,,,,,,,,4,,0,,,1,,,,,2,,,,,,,,3,,,,,,,,,,,2,,6,,,6,,,,,5,,,,,,,,4,,,,,,,,,,1.0,0.0,,,,,,,,,,0.0,1.0,,,,,,,,2.0,,,,
773,I78,6,2,5,O4,,,,,7,,,,,2,,,,3,,,5,,,,,,,4,,,,,,,,,,3,,,,,0,,,,1,,,2,,,,,,,4,,,,,,,,,,3,,,,,6,,,,6,,,5,,,,,,,2,,,,,,,,,,,,0.0,0.0,,,,,,3.0,,,,,,,,,,,4.0,1.0,,,
774,I78,6,5,4,O5,,,,,,,,,,,,1,,,,,,,,5,,,,,1,,,0,,,,,,,,,,,,,1,,,,,,,,0,,,,,2,,,3,,,,,,,,,,,,,6,,,,,,,,6,,,,,5,,,2,,,,,0.0,,,,,1.0,0.0,,,,,,,,0.0,,,,,,,,,,,
775,I78,6,2,3,O6,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,4,,,,,2.0,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,
776,I78,6,2,5,O7,,,0,,,,,,,,,,1,,,4,2,,,,2,,,,,,,,,,,1,,,,,,,,,,2,,,4,3,,,,0,,,,,,,,,,,6,,,,,,,,,,5,,,2,3,,,,6,,,,,,,,,,,,,,4.0,,,,,,0.0,0.0,,,,,,,,,0.0,,,,1.0,,,
777,I78,6,5,4,O8,,,0,,4,,,,,,,,,5,,,,,,,4,,,,,,,,,,,3,,1,,,,,,,,,0,,,,,,,2,,,,,,,,,,,2,,6,,,,,,,,,6,,,,,,,3,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,0.0,,,,,,,
778,I78,6,2,4,O9,,,,,,,,,,,,2,,,,,,0,,,,0,,,,1,,,,,,,,,,,,,,,0,,,,,,2,,,,3,,,,1,,,,,,,,,,,,,,,6,,,,,,5,,,,2,,,,6,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,0.0,,,,,
779,I78,6,2,4,O10,,,,,,2,,2,,,,,,,3,,,,,,,,,,,,4,,,,,,,,1,,0,,,,,,,2,,,,,,,,,,,,3,,,,,,,,6,,6,,,,,,,4,,,,,,,,,,,,2,,,,,,,0.0,,,,,,,,,,,0.0,,,,,1.0,,4.0,,,,,,
780,I79,6,5,4,O1,5,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,0.0,,,2.0,,,,,,,
781,I79,6,2,5,O2,,,,,,,,,,,,,,,,,,,,,,0,,,4,,5,5,2,,,,,,,,,,,,,,,,,,,,,,4,,,3,,2,1,0,,,,,,,,,,,,,,,,,,,,,,2,,,4,,6,6,6,,,0.0,1.0,,,,,,,,,,,,,,2.0,,0.0,,,1.0,,,,,,
782,I79,6,5,4,O3,,,,,,0,,5,,,5,,,,,4,,,,,,,,,,,,,,,,,,,3,,0,,,1,,,,,2,,,,,,,,,,,,,,,,,,,2,,6,,,6,,,,,3,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
783,I79,6,2,4,O4,,,,,,,,,,2,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,0,,,2,,,,1,,,3,,,,,,,,,,,,,,,,,,,6,,,4,,,,6,,,2,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,
784,I79,6,2,4,O5,,,,,,,,0,,,,5,,,,,,,,2,,,,,0,,,,,,,,,,,,3,,,,1,,,,,,,,0,,,,,2,,,,,,,,,,,,2,,,,6,,,,,,,,6,,,,,4,,,,,,,,,0.0,,,,0.0,1.0,,,,,,,,0.0,,,,,,,,,,,
785,I79,6,2,4,O6,,0,,2,,,1,,,,,,,,,,,,,,,,,,,,,,0,,3,,0,,,1,,,,,,,,,,,,,,,,,,,,,,2,,2,,6,,,6,,,,,,,,,,,,,,,,,,,,,,4,,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,
786,I79,6,5,4,O7,,,5,,,,,,,,,,0,,,,0,,,,5,,,,,,,,,,,1,,,,,,,,,,2,,,,3,,,,0,,,,,,,,,,,6,,,,,,,,,,3,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,1.0,,,,0.0,,,
787,I79,6,2,4,O8,,,4,,2,,,,,,,,,,0,,,,,,5,,,,,,,,,,,2,,0,,,,,,,,,,3,,,,,,1,,,,,,,,,,,6,,6,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,0.0,2.0,,,,,,,
