"SEGMENT","ALTERNATE_NAMES","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"S3","I100","-","-","-","+","+","-","+","+","-","-","+","-","-","-","+","+","-","+","-","-","+","-","-","+","+","-","-","+","-"
"S4","I100","-","+","+","+","-","-","+","-","-","-","+","-","-","+","-","-","+","-","-","-","-","-","+","+","-","-","+","-","-"
"S5","I100","-","-","-","+","+","-","-","+","+","+","-","-","-","-","-","-","+","+","-","+","+","-","+","-","-","+","-","+","-"
"S6","I100","+","+","+","-","-","+","+","+","-","+","+","-","-","+","+","+","-","-","-","-","-","-","-","+","+","+","+","-","-"
"S7","I100","-","-","-","+","+","+","-","+","+","+","+","-","-","+","+","+","+","+","+","-","+","-","-","+","+","-","-","+","+"
"S1","I101","-","-","+","+","-","-","-","+","+","-","+","+","+","+","-","+","+","+","-","+","-","+","-","+","+","-","-","-","-"
"S2","I101","-","-","+","-","+","-","-","-","-","+","+","+","+","+","+","-","+","+","+","+","+","+","+","+","+","-","+","+","+"
"S3","I101","-","-","+","-","-","-","+","-","-","-","-","-","-","-","+","+","+","-","+","+","-","-","-","+","-","+","+","+","-"
"S4","I101","-","-","+","+","+","-","-","-","-","-","-","-","+","+","+","+","-","-","-","+","+","+","+","-","+","-","-","-","+"
"S5","I101","+","-","+","-","+","+","-","-","-","-","-","+","+","+","-","+","-","+","-","-","+","+","-","+","-","+","+","+","-"
"S6","I101","-","-","+","+","+","+","+","-","+","-","-","+","-","-","+","-","-","+","+","+","+","+","-","-","+","-","-","+","-"
"S7","I101","+","-","+","-","-","+","-","-","-","+","+","-","-","+","+","-","-","+","+","-","+","-","-","+","-","+","+","+","-"
"S1","I102","-","-","-","+","-","-","-","-","-","+","+","+","+","-","-","+","+","-","-","-","+","+","+","-","+","+","+","-","+"
"S2","I102","+","-","+","-","+","-","-","-","-","+","+","+","+","-","-","+","+","-","+","-","+","+","-","+","+","-","+","+","+"
"S3","I102","-","+","+","+","+","-","+","-","-","+","+","-","-","+","+","+","+","-","-","-","-","+","-","+","-","-","+","+","-"
"S4","I102","-","-","-","+","+","+","-","+","-","+","-","+","+","+","-","+","+","+","+","-","-","-","+","-","+","+","-","+","-"
"S5","I102","-","+","+","+","+","+","-","-","-","+","-","+","+","-","-","-","+","+","-","+","-","+","+","+","+","-","+","-","+"
"S6","I102","-","+","-","-","+","+","-","-","+","-","+","+","-","-","-","-","+","+","-","+","-","+","-","-","-","-","-","-","+"
"S7","I102","-","-","-","+","+","-","+","-","-","-","+","+","-","-","-","-","+","+","+","-","-","+","-","+","+","-","-","+","+"
"S1","I103","+","-","-","+","-","-","+","-","-","+","+","-","+","+","-","-","-","-","+","-","+","-","+","+","+","+","+","+","+"
"S2","I103","+","-","+","-","-","-","+","+","+","+","-","-","+","-","-","+","+","-","-","-","+","-","+","+","-","+","+","+","+"
"S3","I103","+","-","+","+","-","-","+","+","-","-","-","-","+","+","+","+","-","-","-","+","-","-","+","+","-","+","+","+","+"
"S4","I103","-","-","-","-","+","-","-","-","+","+","+","-","+","-","+","+","-","-","+","+","-","+","-","-","+","-","-","+","-"
"S5","I103","-","+","-","-","+","-","-","-","-","+","+","+","+","+","+","-","+","+","-","-","-","-","-","-","+","+","+","-","+"
"S6","I103","+","+","+","+","-","-","-","-","+","-","+","+","+","+","+","-","-","-","+","-","+","+","-","-","-","-","-","-","+"
"S7","I103","+","-","+","+","-","-","+","+","-","-","-","-","+","+","-","+","-","+","+","+","-","+","-","+","-","-","-","+","+"
"S1","I104","-","-","+","-","-","-","-","+","+","-","+","-","-","-","+","-","-","+","-","-","-","+","+","-","-","-","+","-","-"
"S2","I104","-","-","-","-","+","-","-","-","-","-","-","-","+","-","-","-","-","-","-","+","+","+","-","-","-","+","+","+","+"
"S3","I104","-","-","-","+","-","+","+","+","-","+","+","+","-","-","-","+","+","-","-","+","+","+","+","+","+","+","+","+","-"
"S4","I104","+","-","+","-","+","+","+","+","+","-","-","+","-","+","+","-","-","-","+","+","+","+","-","+","+","-","-","-","+"
"S5","I104","+","+","-","+","+","-","-","-","+","-","+","-","-","+","+","+","+","-","-","+","-","-","+","-","+","+","-","+","+"
"S6","I104","+","+","+","+","-","-","-","-","+","-","+","+","-","+","+","+","-","-","-","+","-","+","+","-","+","-","-","-","-"
"S7","I104","-","+","+","+","+","-","-","-","-","-","-","+","-","-","+","+","+","+","+","+","+","+","+","-","+","+","+","-","-"
"S1","I105","-","-","+","+","-","-","-","+","-","-","-","+","-","+","+","+","+","-","-","+","-","-","-","+","+","-","+","-","-"
"S2","I105","-","+","-","+","+","-","-","+","-","-","-","-","+","+","+","+","-","+","+","-","+","+","-","+","-","+","+","-","-"
"S3","I105","-","-","+","-","+","-","-","-","+","-","-","+","+","+","+","-","-","-","-","-","-","+","-","-","+","-","+","+","+"
"S4","I105","-","-","+","+","+","+","-","+","-","-","-","-","+","+","-","+","+","-","-","+","-","-","+","-","+","-","-","+","-"
"S5","I105","-","-","-","+","+","+","+","-","+","+","-","+","+","-","-","+","+","+","+","+","+","-","+","-","+","+","+","+","-"
"S6","I105","-","+","+","-","-","-","-","+","+","-","+","+","+","+","+","+","-","-","+","-","-","-","+","-","+","+","+","+","+"
"S7","I105","+","+","-","-","+","-","+","-","+","+","+","-","+","-","-","+","-","+","+","+","+","-","+","-","-","-","-","+","+"
"S1","I106","+","-","+","-","+","-","+","+","+","-","-","-","-","-","+","+","-","+","+","+","-","+","-","+","+","-","+","+","+"
"S2","I106","+","-","+","+","-","-","-","-","+","-","+","-","+","-","-","-","-","+","-","+","-","-","+","-","+","-","-","+","+"
"S3","I106","-","-","-","+","-","-","-","-","+","-","-","+","-","+","+","-","-","-","-","-","-","-","+","+","+","-","-","+","+"
"S4","I106","+","+","-","+","-","-","-","-","-","-","-","-","+","+","+","+","+","-","-","-","-","+","+","+","+","-","-","-","-"
"S5","I106","+","-","-","+","+","+","+","+","-","-","+","+","+","+","-","-","+","+","-","+","-","-","-","-","-","+","-","+","-"
"S6","I106","-","+","+","+","-","-","-","+","+","-","+","+","-","+","-","+","+","+","+","+","+","-","+","+","-","-","-","-","-"
"S7","I106","+","+","+","-","-","+","-","-","-","+","+","+","+","+","-","+","+","+","+","-","+","+","-","-","+","-","+","+","-"
"S1","I107","+","+","+","+","-","-","-","-","-","+","-","+","-","+","+","+","-","+","-","-","-","+","+","+","-","+","+","-","+"
"S2","I107","+","+","+","+","-","+","+","-","-","-","-","-","+","-","-","+","-","+","-","+","-","+","-","+","-","-","+","-","-"
"S3","I107","+","-","+","-","+","-","-","+","+","+","+","+","-","-","-","-","+","-","-","-","+","+","-","-","+","-","-","-","-"
"S4","I107","+","+","+","-","+","+","-","-","+","+","+","-","+","+","+","-","+","+","+","+","+","+","+","+","-","-","-","+","-"
"S5","I107","-","+","+","-","-","+","+","+","-","+","-","-","+","+","+","-","-","+","-","+","-","+","-","-","+","+","+","-","-"
"S6","I107","-","+","+","+","-","-","-","+","+","-","-","-","+","-","-","+","+","-","+","-","-","-","+","-","+","+","+","-","+"
"S7","I107","-","+","+","+","+","+","+","-","+","+","+","+","+","+","-","+","-","+","+","+","+","-","+","+","-","+","+","+","-"
"S1","I108","+","+","-","-","+","-","+","-","-","+","+","+","-","-","+","-","+","+","-","+","+","-","+","-","+","-","+","-","+"
"S2","I108","-","+","-","+","-","-","-","+","-","-","-","+","-","+","-","+","-","+","+","-","-","-","+","-","-","+","-","+","-"
"S3","I108","-","+","-","+","-","-","-","+","+","-","-","+","+","+","-","-","+","-","-","-","+","-","+","-","+","+","-","+","-"
"S4","I108","-","-","-","-","-","-","+","-","+","+","+","+","+","-","+","+","+","+","+","-","+","-","+","-","-","+","+","-","+"
"S5","I108","+","-","+","-","+","-","-","-","+","+","+","+","+","-","+","-","+","+","-","-","-","-","+","-","+","-","-","-","+"
"S6","I108","+","+","-","+","-","-","-","-","-","+","-","-","+","-","-","-","+","-","-","-","+","-","-","-","-","+","-","-","+"
"S7","I108","+","-","-","-","+","+","-","-","+","+","+","+","-","-","+","-","+","-","-","-","+","+","-","-","+","-","+","+","-"
"S1","I109","+","+","+","-","-","-","-","+","-","+","-","-","-","+","+","+","+","-","-","+","-","+","+","-","-","-","-","+","-"
"S2","I109","-","-","+","-","-","+","-","-","+","-","-","+","-","+","+","+","+","-","+","+","-","+","+","+","+","-","+","+","-"
"S3","I109","-","+","+","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-","+","-","-","+","+","+","+","+","-","+","+"
"S4","I109","+","+","+","+","+","-","+","-","+","+","+","+","+","-","+","-","+","-","-","-","-","-","+","-","+","+","+","+","-"
"S5","I109","+","-","-","+","-","+","+","-","-","-","-","+","+","+","+","-","+","-","-","-","-","+","-","-","-","-","-","-","+"
"S6","I109","+","-","-","+","-","+","-","+","-","-","+","-","-","-","-","+","-","+","-","+","+","-","-","-","+","-","+","-","-"
"S7","I109","-","-","+","-","-","+","-","+","+","+","+","-","+","-","-","-","+","-","-","+","+","-","+","-","-","-","+","+","-"
"S1","I110","+","+","-","-","-","+","+","-","-","-","-","-","-","+","-","+","-","+","+","-","+","-","-","-","-","-","+","+","-"
"S2","I110","+","+","+","-","-","-","-","-","-","+","+","+","-","-","+","-","-","-","+","+","+","-","+","-","+","-","-","+","-"
"S3","I110","+","+","+","+","-","-","-","+","-","+","-","+","+","-","-","+","+","+","+","+","+","-","+","-","+","+","+","+","+"
"S4","I110","-","+","+","-","-","+","+","-","+","-","+","-","+","-","-","-","+","-","+","+","+","+","+","-","+","-","-","-","-"
"S5","I110","-","-","-","+","+","+","-","-","+","+","-","-","-","+","-","+","-","-","-","+","+","-","-","-","-","+","-","-","+"
"S6","I110","-","+","+","+","-","+","+","+","+","-","+","-","+","-","+","+","+","-","-","+","-","-","-","-","+","-","+","-","-"
"S7","I110","-","-","-","-","-","-","-","-","-","-","+","+","-","+","+","+","-","-","+","-","+","+","+","-","+","+","-","-","+"
"S1","I111","-","+","-","-","-","+","+","-","-","+","+","-","+","-","+","+","+","+","-","+","+","-","+","-","+","-","-","-","+"
"S2","I111","-","+","+","+","-","+","-","+","-","-","-","-","+","-","-","-","+","+","+","-","-","+","-","+","-","+","-","+","-"
"S3","I111","-","-","-","+","+","+","+","+","+","-","-","+","-","-","-","+","+","+","+","-","+","+","+","-","-","+","+","+","+"
"S4","I111","+","-","+","+","-","+","+","-","-","-","+","+","+","-","-","-","+","+","+","-","+","+","-","-","+","-","-","+","-"
"S5","I111","+","-","+","-","+","-","-","-","-","+","-","-","+","+","+","-","+","-","+","-","-","+","+","-","-","+","-","-","+"
"S6","I111","-","+","+","+","+","+","-","+","-","-","-","+","+","-","-","+","-","-","-","-","+","-","+","-","+","-","+","-","+"
"S7","I111","+","+","+","-","-","+","-","-","-","-","-","-","+","-","-","-","-","+","+","+","+","+","+","+","-","-","-","-","-"
"S1","I112","-","-","-","+","-","+","+","-","-","+","-","-","+","-","-","-","-","+","+","+","+","-","+","+","+","+","-","+","+"
"S2","I112","-","-","+","-","+","+","+","+","-","-","-","-","+","-","+","+","+","+","-","+","+","-","-","+","-","-","-","+","+"
"S3","I112","+","+","+","+","+","-","+","-","-","-","-","-","-","-","-","-","+","+","+","+","+","-","-","+","+","-","+","+","-"
"S4","I112","+","-","-","-","+","+","+","+","+","-","-","-","-","-","-","-","-","-","-","+","+","-","+","+","+","-","-","+","+"
"S5","I112","+","-","-","+","+","-","-","-","+","-","-","+","-","+","+","-","+","-","-","+","-","-","-","-","-","+","-","+","-"
"S6","I112","+","-","+","+","-","-","-","+","-","-","+","-","+","-","-","+","+","-","-","+","+","+","-","+","+","-","+","-","+"
"S7","I112","-","-","+","-","+","+","-","+","+","+","+","-","+","+","-","+","+","-","-","+","+","+","-","+","-","-","-","+","-"
"S1","I113","+","-","-","-","-","+","+","+","+","-","-","+","+","-","-","-","+","+","+","+","+","+","-","+","+","+","-","+","+"
"S2","I113","-","-","-","-","+","+","+","+","+","-","+","+","-","+","+","+","-","-","+","+","-","-","-","-","+","+","+","-","+"
"S3","I113","-","+","+","+","-","+","+","-","-","+","-","-","-","-","-","+","-","-","-","+","+","-","-","-","-","-","+","-","+"
"S4","I113","-","+","-","+","-","+","+","+","-","-","+","-","-","-","+","+","+","+","+","-","+","-","-","+","-","+","-","+","-"
"S5","I113","-","-","-","-","+","+","-","+","+","-","-","+","+","+","+","-","-","+","+","-","+","-","+","-","-","+","-","+","+"
"S6","I113","-","-","+","-","-","-","+","-","-","+","+","-","+","-","-","+","+","-","+","-","-","+","+","+","-","-","+","-","+"
"S7","I113","+","-","-","-","+","-","-","-","+","-","+","+","-","+","+","-","+","-","-","-","+","-","-","+","+","-","-","+","-"
"S1","I114","+","-","-","-","-","-","-","+","-","-","+","-","-","+","+","-","+","+","-","-","+","+","-","-","-","-","+","-","+"
"S2","I114","+","+","+","-","+","+","+","-","-","-","-","+","+","+","+","-","+","+","-","+","+","-","+","+","-","+","+","-","-"
"S3","I114","+","-","+","+","-","-","+","-","-","-","-","+","-","+","+","+","-","-","+","+","-","+","+","-","+","+","-","+","-"
"S4","I114","+","+","+","+","+","+","-","-","+","+","+","+","-","-","+","-","+","-","-","+","+","+","+","+","+","+","+","+","+"
"S5","I114","+","+","+","+","+","+","-","-","+","-","+","+","-","+","-","+","+","+","+","+","+","+","+","+","-","+","+","-","-"
"S6","I114","-","-","+","-","-","+","+","+","+","-","-","+","+","-","+","+","+","+","-","-","-","+","-","+","-","+","+","+","-"
"S7","I114","+","-","-","-","+","-","-","+","+","+","+","+","-","-","+","+","-","-","-","+","-","-","+","-","+","+","-","-","-"
"S1","I115","-","+","-","-","+","-","-","+","+","-","-","+","-","+","+","-","+","+","-","-","+","-","+","-","+","-","+","+","-"
"S2","I115","-","+","-","-","-","+","-","-","-","-","+","-","-","+","-","-","-","-","-","-","+","-","-","+","+","-","+","-","-"
"S3","I115","+","+","-","-","+","+","+","+","+","+","+","-","+","-","+","+","+","-","-","-","-","+","-","-","+","-","+","+","+"
"S4","I115","-","-","+","-","+","+","+","-","+","+","+","-","-","-","+","-","-","-","+","-","+","+","+","-","+","+","+","-","+"
"S5","I115","-","+","+","+","-","+","+","-","-","-","+","-","+","+","+","+","-","-","+","+","+","-","+","+","+","+","+","+","+"
"S6","I115","+","+","+","-","-","-","+","+","-","+","-","-","+","-","+","+","+","+","-","+","-","-","-","+","-","+","+","-","-"
"S7","I115","+","+","+","-","-","+","+","-","-","-","-","+","-","-","+","-","+","-","-","-","-","+","-","+","-","+","-","-","-"
"S1","I116","-","+","-","-","+","+","-","+","+","+","+","-","+","-","+","-","+","-","+","+","+","-","-","+","+","-","-","-","+"
"S2","I116","-","+","-","-","+","+","-","-","+","+","-","-","+","-","+","+","-","+","-","-","-","-","+","+","+","-","-","-","+"
"S3","I116","-","+","+","-","+","-","+","+","-","+","-","-","-","+","+","+","+","-","+","-","+","-","+","+","-","+","+","-","+"
"S4","I116","-","-","+","+","+","+","+","+","-","+","-","+","-","+","+","-","+","-","-","+","+","-","+","-","+","-","-","-","+"
"S5","I116","-","+","+","-","+","+","+","+","+","+","-","-","+","-","+","+","+","-","+","+","-","+","+","-","+","-","-","-","+"
"S6","I116","+","-","-","+","-","+","+","-","-","-","+","-","+","+","+","-","+","+","-","+","-","-","+","-","+","+","-","-","-"
"S7","I116","-","-","+","-","-","-","+","+","-","-","+","-","+","-","-","-","+","-","-","+","+","-","-","+","-","-","+","+","-"
"S1","I117","+","-","+","+","-","-","+","-","+","-","+","+","-","+","+","+","+","+","-","+","+","+","+","+","+","+","-","+","-"
"S2","I117","+","-","-","+","+","+","+","+","+","+","+","+","+","+","-","-","+","+","+","+","-","-","+","+","+","+","+","-","-"
"S3","I117","-","-","-","+","-","-","-","+","+","-","-","+","+","-","-","+","+","+","+","-","-","+","-","+","+","-","-","-","-"
"S4","I117","-","-","+","-","+","+","+","-","+","+","+","-","-","-","-","+","+","-","-","-","-","-","+","-","-","+","-","-","+"
"S5","I117","-","-","+","-","-","-","-","-","-","-","+","-","-","-","+","-","+","+","-","-","+","+","-","+","-","-","-","+","+"
"S6","I117","-","+","+","+","+","-","+","+","+","+","-","-","+","-","-","+","-","+","-","+","-","+","-","+","+","-","+","+","+"
"S7","I117","+","-","-","+","-","-","-","+","-","+","-","+","-","-","-","+","+","+","-","+","+","-","+","+","+","-","-","-","-"
"S1","I118","+","+","+","-","+","+","+","+","-","+","+","+","+","-","-","+","-","-","+","+","-","+","+","+","+","+","-","-","-"
"S2","I118","+","+","-","-","-","-","+","-","-","+","+","+","-","-","+","+","+","-","-","+","+","-","+","+","+","+","+","+","+"
"S3","I118","+","-","-","-","+","+","+","+","+","+","+","-","-","-","-","-","-","-","+","+","+","+","-","-","+","+","+","-","+"
"S4","I118","+","-","+","+","-","-","+","+","-","+","+","-","+","+","+","+","+","-","+","+","+","+","+","+","+","-","-","-","+"
"S5","I118","-","+","+","+","-","+","-","+","-","+","-","+","+","+","+","+","-","+","+","-","-","+","+","+","+","-","-","-","-"
"S6","I118","-","+","+","+","+","+","-","-","+","+","+","+","+","-","+","+","+","+","-","-","-","+","+","-","+","+","-","-","+"
"S7","I118","+","+","+","-","-","+","+","+","+","+","-","-","-","+","-","+","+","+","+","-","-","-","+","+","-","-","+","-","-"
"S1","I119","+","+","+","-","+","-","+","-","-","-","-","+","-","-","+","+","-","-","-","-","+","-","-","-","+","+","+","+","+"
"S2","I119","-","+","+","+","+","-","+","-","+","+","-","+","+","+","-","-","-","+","-","-","+","-","+","+","-","-","-","-","-"
"S3","I119","-","-","-","-","-","+","+","+","-","+","+","+","+","-","+","-","-","+","-","+","-","-","+","-","-","-","-","+","+"
"S4","I119","+","-","-","+","-","-","+","-","+","-","-","+","+","+","-","-","+","+","-","+","+","-","+","-","-","-","-","-","+"
"S5","I119","+","-","+","+","+","+","+","-","+","+","+","-","-","+","-","+","+","-","-","-","+","+","-","+","-","+","-","+","-"
"S6","I119","-","+","+","+","+","+","-","+","+","+","-","-","+","-","-","-","-","+","+","+","-","-","+","+","-","+","-","-","-"
"S7","I119","-","-","+","-","-","-","+","-","+","-","+","-","+","+","+","+","+","+","-","+","+","-","+","-","+","+","+","+","+"
"S1","I120","+","-","-","-","-","+","-","+","+","+","-","+","+","+","+","+","-","+","-","+","-","+","+","+","+","-","+","-","-"
"S2","I120","+","+","-","-","+","-","-","-","-","-","+","+","+","-","-","+","+","-","-","+","+","+","+","-","+","+","+","+","-"
"S3","I120","+","-","-","-","+","-","-","-","+","+","+","-","+","-","+","+","+","+","+","+","+","+","-","-","+","+","+","+","-"
"S4","I120","+","-","+","+","-","-","-","-","+","-","-","-","-","+","+","+","-","+","-","+","-","+","-","+","+","-","-","-","+"
"S5","I120","-","-","+","+","-","+","+","+","+","+","-","+","+","-","+","+","-","+","+","-","+","-","-","-","+","+","-","+","+"
"S6","I120","-","-","-","-","-","-","-","+","-","-","-","-","-","+","-","-","+","+","+","+","-","+","+","-","+","-","+","-","-"
"S7","I120","-","+","+","-","-","-","-","+","+","-","+","+","-","-","+","-","-","-","-","+","-","-","+","+","-","-","+","+","-"
"S1","I121","-","-","+","+","+","+","-","+","-","-","+","+","+","+","-","+","+","-","-","+","-","-","+","+","+","-","-","-","+"
"S2","I121","+","+","-","-","+","-","-","-","-","+","+","+","-","-","-","+","+","-","-","+","+","+","+","+","+","-","+","+","+"
"S3","I121","-","-","+","+","+","+","+","-","+","-","-","+","+","-","+","-","+","+","-","+","-","+","+","-","+","+","+","+","-"
"S4","I121","+","-","+","-","-","-","+","-","+","-","-","-","-","-","+","+","-","+","-","-","-","+","-","-","-","+","+","-","-"
"S5","I121","-","+","+","-","+","-","-","-","-","+","+","-","-","-","-","-","+","-","-","-","-","-","+","-","+","-","-","+","-"
"S6","I121","-","-","-","+","-","-","+","-","-","-","-","+","+","+","+","-","+","+","+","-","-","+","-","-","-","-","+","-","+"
"S7","I121","-","-","-","-","+","-","-","+","-","+","+","-","-","-","-","+","-","+","-","-","+","+","-","-","-","+","+","-","-"
"S8","I121","+","+","+","+","+","-","-","+","-","+","-","-","-","+","-","-","+","-","+","+","-","+","+","-","+","-","-","+","-"
"S1","I122","-","+","-","+","-","+","+","+","-","+","-","+","+","+","-","+","+","-","+","-","+","+","+","-","-","-","+","-","-"
"S2","I122","+","-","+","-","+","-","+","-","+","+","+","-","+","+","+","+","+","-","-","-","-","-","+","-","-","-","-","+","-"
"S3","I122","+","-","+","-","-","-","-","+","+","-","+","+","-","+","-","-","-","-","-","-","-","-","+","-","-","-","-","-","-"
"S4","I122","-","-","-","-","-","+","-","+","+","+","+","+","-","+","-","+","+","-","-","+","+","-","-","+","+","+","+","-","-"
"S5","I122","+","+","-","-","+","+","-","+","+","+","+","-","+","-","-","-","+","+","-","+","-","+","-","-","-","+","-","-","-"
"S6","I122","-","+","-","+","-","-","+","-","+","+","-","+","-","-","+","+","-","-","+","+","+","-","+","-","-","-","-","+","-"
"S7","I122","-","+","+","-","-","+","+","+","-","-","+","-","+","-","-","+","+","-","-","-","+","+","+","-","-","-","-","+","+"
"S8","I122","+","+","-","+","-","-","-","-","-","-","+","-","+","-","-","+","+","-","-","-","-","+","+","-","-","-","-","+","+"
"S1","I123","-","-","+","+","+","+","+","-","-","+","-","-","+","+","+","-","-","+","-","+","+","-","+","-","-","+","+","-","-"
"S2","I123","-","-","-","+","+","+","+","+","+","+","-","+","+","-","-","-","-","+","+","+","-","-","-","-","+","+","+","-","+"
"S3","I123","-","+","+","-","+","+","-","-","+","-","-","+","-","-","-","-","-","+","-","-","-","-","-","-","+","+","-","-","-"
"S4","I123","+","-","+","+","+","-","+","+","+","+","+","+","+","+","+","-","-","-","+","+","-","+","+","+","+","-","+","+","-"
"S5","I123","-","-","+","+","-","-","+","-","-","+","+","+","-","-","+","+","-","-","+","-","-","-","-","+","-","+","-","+","-"
"S6","I123","-","-","+","+","+","+","+","+","-","-","+","+","-","+","-","-","-","-","+","-","+","-","+","-","-","-","+","-","-"
"S7","I123","-","-","+","-","+","-","+","+","-","-","-","+","+","-","-","+","-","-","-","-","-","+","-","+","-","-","+","+","+"
"S8","I123","-","+","-","+","-","-","-","-","+","-","+","-","+","+","-","-","+","+","-","-","-","-","+","+","+","-","-","+","+"
"S1","I124","+","-","-","-","-","-","+","-","-","+","-","-","+","-","+","-","+","+","-","+","+","-","-","+","-","-","-","-","-"
"S2","I124","+","+","+","+","+","+","-","-","-","+","-","+","-","-","-","-","-","-","-","-","-","+","-","-","-","-","+","-","-"
"S3","I124","-","-","-","+","+","-","+","+","+","-","-","+","+","-","-","+","-","-","+","-","-","-","-","-","+","+","-","-","+"
"S4","I124","-","-","+","-","+","+","+","-","-","+","-","+","+","+","-","+","+","+","-","+","+","-","+","+","-","+","+","-","-"
"S5","I124","+","+","+","+","-","-","-","-","-","-","+","+","-","+","-","+","+","+","+","+","-","+","-","-","-","+","-","-","+"
"S6","I124","-","+","+","-","+","+","+","-","-","-","-","-","-","-","-","+","-","-","-","+","+","+","-","+","+","+","-","+","-"
"S7","I124","+","+","+","+","+","+","+","+","-","+","+","+","-","-","+","+","+","-","+","-","-","+","-","+","+","-","+","+","-"
"S8","I124","+","+","+","-","+","+","+","-","-","-","+","-","-","+","+","+","+","+","-","+","+","-","-","+","-","-","-","-","-"
"S1","I125","+","+","+","+","-","+","-","-","+","+","+","-","-","+","-","-","-","+","-","-","+","+","+","+","-","-","-","+","+"
"S2","I125","+","+","+","-","+","-","-","+","-","+","-","+","+","+","-","-","+","-","+","+","-","-","-","+","-","-","+","+","-"
"S3","I125","-","-","+","-","-","-","-","-","-","+","+","+","-","+","+","+","-","-","+","+","-","+","+","-","-","+","-","-","-"
"S4","I125","-","-","-","+","+","-","+","-","-","+","-","-","+","+","-","+","-","+","-","-","-","+","-","+","+","+","+","+","-"
"S5","I125","+","+","-","+","-","+","-","+","+","-","+","-","+","+","+","-","-","+","-","+","-","-","-","-","-","+","-","+","-"
"S6","I125","+","-","-","+","-","-","+","+","+","-","+","+","+","-","-","-","+","-","-","+","+","-","-","-","+","-","-","+","+"
"S7","I125","-","+","+","-","+","+","+","-","+","+","-","+","-","-","-","-","+","-","+","-","+","+","-","+","+","-","-","-","-"
"S8","I125","-","-","-","+","+","-","-","-","+","-","-","-","-","+","+","+","-","-","-","+","+","+","+","-","+","+","-","-","+"
"S1","I126","+","-","-","+","+","+","+","+","+","-","+","+","+","+","+","-","+","+","+","-","-","-","+","+","-","+","-","-","-"
"S2","I126","+","-","+","-","+","+","+","+","-","-","-","+","+","-","-","-","-","-","-","-","+","-","-","+","+","+","-","-","-"
"S3","I126","+","-","+","+","-","-","-","+","-","-","-","+","-","+","-","-","+","+","+","-","-","+","+","-","+","+","+","-","-"
"S4","I126","+","-","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","-","+","+","+","+","-","+","-","-","-","-","-"
"S5","I126","-","-","+","-","+","+","+","+","+","-","-","+","+","-","+","-","-","-","+","-","+","-","-","+","-","+","+","+","+"
"S6","I126","+","-","-","+","+","+","-","-","-","+","+","-","+","-","+","-","+","+","+","+","-","+","+","+","+","+","+","+","-"
"S7","I126","-","-","+","-","-","+","-","-","-","-","+","+","+","-","-","+","-","+","-","+","-","+","+","+","+","+","-","-","-"
"S8","I126","-","+","-","-","-","+","+","-","+","-","-","-","+","-","-","+","-","-","-","-","-","+","+","-","-","-","+","-","-"
"S1","I127","-","-","+","-","-","+","+","-","-","-","-","+","-","-","-","-","+","+","-","+","-","-","-","-","-","-","-","-","+"
"S2","I127","+","-","+","-","+","-","+","+","+","+","-","+","-","-","-","-","-","+","+","-","+","+","+","+","+","-","-","+","+"
"S3","I127","+","-","-","-","+","+","-","+","-","-","+","-","-","-","-","+","+","+","-","+","-","-","-","+","+","+","+","-","-"
"S4","I127","-","+","+","+","-","-","-","+","-","+","+","+","+","+","-","+","-","+","+","-","-","+","-","+","+","-","-","+","+"
"S5","I127","+","+","+","-","-","+","+","-","+","+","+","+","-","+","+","-","-","-","+","-","-","-","-","+","-","-","-","+","-"
"S6","I127","-","+","-","-","-","-","+","+","+","+","+","+","-","-","+","-","+","-","+","-","+","+","+","+","+","-","+","-","-"
"S7","I127","+","+","-","-","+","+","-","+","-","-","+","+","+","+","+","-","-","+","+","+","-","+","+","-","+","+","+","+","+"
"S8","I127","-","-","-","-","-","-","-","+","-","-","-","+","-","+","+","+","-","+","-","+","-","+","-","-","-","+","-","-","-"
"S1","I128","+","+","+","+","+","-","+","+","+","+","+","+","+","-","-","-","-","+","+","-","-","+","-","+","+","-","-","-","+"
"S2","I128","+","+","+","-","-","-","+","-","-","+","+","-","-","-","+","-","-","-","+","-","+","-","-","-","+","-","-","+","+"
"S3","I128","-","-","+","-","-","-","-","+","-","+","-","-","-","-","-","-","+","-","+","+","+","-","+","+","-","+","+","+","+"
"S4","I128","+","-","-","+","-","+","+","+","-","+","+","-","+","+","-","+","-","-","-","+","-","+","+","-","+","-","-","+","-"
"S5","I128","+","-","-","-","-","-","+","-","-","-","-","-","-","+","-","+","+","+","-","-","+","-","+","-","-","+","-","+","-"
"S6","I128","-","-","+","+","-","+","+","-","+","-","+","+","+","+","+","-","-","-","-","-","+","-","-","+","-","-","+","-","-"
"S7","I128","+","+","-","-","-","+","+","-","+","-","+","+","-","+","-","+","+","-","+","-","+","-","-","+","-","-","+","+","+"
"S8","I128","+","-","-","+","+","-","+","-","+","+","+","+","+","-","+","+","+","+","+","-","+","+","-","-","+","-","+","+","-"
"S1","I129","-","+","-","+","+","-","+","-","+","-","-","+","-","-","-","+","+","+","-","+","+","+","-","+","-","+","+","-","+"
